SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,1.2210356362629682E-4
1,8.911516488296911E-5
2,1.0074050078401342E-4
3,1.1637423449428752E-4
4,1.0260644921800122E-4
5,8.888921001926064E-5
6,1.1299597099423409E-4
7,1.535986375529319E-4
8,1.5792727936059237E-4
9,1.1056425864808261E-4
10,5.3530158766079694E-5
11,3.75557501683943E-5
12,5.810098082292825E-5
13,7.467889372492209E-5
14,8.120032725855708E-5
15,9.140962356468663E-5
16,9.03690597624518E-5
17,7.101939991116524E-5
18,6.422897422453389E-5
19,8.673818228999153E-5
20,1.1309498950140551E-4
21,1.1534731311257929E-4
22,9.417283581569791E-5
23,6.476233102148399E-5
24,3.8015496102161705E-5
25,3.232151357224211E-5
26,6.543745985254645E-5
27,1.0780214506667107E-4
28,1.1050163448089734E-4
29,8.9478307927493E-5
30,8.622891618870199E-5
31,8.13593651400879E-5
32,4.961210288456641E-5
33,2.053580101346597E-5
34,1.7328133253613487E-5
35,2.4448065232718363E-5
36,3.12196571030654E-5
37,4.307769995648414E-5
38,5.749168121838011E-5
39,6.232764280866832E-5
40,5.600844815489836E-5
41,5.8487752539804205E-5
42,9.245414548786357E-5
43,1.3578672951553017E-4
44,1.2702771346084774E-4
45,7.321965676965192E-5
46,6.257378845475614E-5
47,1.0129416477866471E-4
48,9.954644337994978E-5
49,5.5456144764320925E-5
50,4.6621069486718625E-5
51,6.903449684614316E-5
52,7.848198583815247E-5
53,9.426262840861455E-5
54,1.2925703777000308E-4
55,1.4556395763065666E-4
56,1.3031954586040229E-4
57,1.1004610860254616E-4
58,1.0521039803279564E-4
59,1.2107702059438452E-4
60,1.4299331814981997E-4
61,1.425956143066287E-4
62,1.2137778685428202E-4
63,1.1092312342952937E-4
64,1.1257597361691296E-4
65,9.6039759228006E-5
66,6.361838313750923E-5
67,4.789139347849414E-5
68,5.3887277317699045E-5
69,6.128695531515405E-5
70,5.901960321352817E-5
71,4.764372351928614E-5
72,3.754597855731845E-5
73,4.27466475230176E-5
74,5.9301451983628795E-5
75,7.015115261310712E-5
76,7.436188752762973E-5
77,9.417528053745627E-5
78,1.432495191693306E-4
79,1.9164977129548788E-4
80,1.9284425070509315E-4
81,1.4645450573880225E-4
82,9.441582369618118E-5
83,6.515421409858391E-5
84,6.09357375651598E-5
85,8.091222844086587E-5
86,1.1383295350242406E-4
87,1.2469623470678926E-4
88,9.400286944583058E-5
89,5.2176670578774065E-5
90,3.6666675441665575E-5
91,4.736363916890696E-5
92,6.422365549951792E-5
93,6.770699837943539E-5
94,5.5880849686218426E-5
95,6.569045217474923E-5
96,1.2339025852270424E-4
97,1.8453622760716826E-4
98,1.91389539395459E-4
99,1.508394198026508E-4
100,1.0689582268241793E-4
101,7.950772123876959E-5
102,5.948848047410138E-5
103,3.996325904154219E-5
104,2.8259833925403655E-5
105,3.26418703480158E-5
106,5.304685691953637E-5
107,7.435841689584777E-5
108,7.499605999328196E-5
109,5.8668309065978974E-5
110,4.6661098167533055E-5
111,4.1689603676786646E-5
112,4.2881489207502455E-5
113,6.089676026022062E-5
114,8.476872608298436E-5
115,8.75213008839637E-5
116,7.251474016811699E-5
117,6.374508666340262E-5
118,6.443508027587086E-5
119,6.188799306983128E-5
