SHARAD Reading at Lat,Lon: 84.6923, 320.9158
Line (Pixels),Value (DN)
2320,1.034565138979815E-4
2321,1.6253434296231717E-4
2322,2.1679475321434438E-4
2323,2.0083333947695792E-4
2324,1.4276729780249298E-4
2325,1.261445286218077E-4
2326,1.7206610937137157E-4
2327,4.034930607303977E-4
2328,0.001678215921856463
2329,0.006261666305363178
2330,0.015286443755030632
2331,0.023110713809728622
2332,0.02062814123928547
2333,0.00934571959078312
2334,0.001822181511670351
2335,0.003648007521405816
2336,0.008602251298725605
2337,0.01135468389838934
2338,0.010713840834796429
2339,0.006286383140832186
2340,0.0015903321327641606
2341,8.313399739563465E-4
2342,0.0014770944835618138
2343,4.565892741084099E-4
2344,0.0012835313100367785
2345,0.006140644662082195
2346,0.010052335448563099
2347,0.008779908530414104
2348,0.004589964635670185
2349,0.0014432292664423585
2350,2.6825210079550743E-4
2351,1.4130760973785073E-4
2352,3.3101480221375823E-4
2353,4.5649948879145086E-4
2354,4.6384046436287463E-4
2355,6.42122351564467E-4
2356,0.0010742603335529566
2357,0.0013709713239222765
2358,0.0011566714383661747
2359,5.672759143635631E-4
2360,1.3138994108885527E-4
2361,1.2436459655873477E-4
2362,2.8616387862712145E-4
2363,4.320744192227721E-4
2364,7.507952977903187E-4
2365,0.0010982361854985356
2366,9.648347622714937E-4
2367,4.89288882818073E-4
2368,2.6074310881085694E-4
2369,2.163602039217949E-4
2370,2.699486503843218E-4
2371,0.001196672790683806
2372,0.003028383944183588
2373,0.004006062168627977
2374,0.0029929340817034245
2375,0.0012450356734916568
2376,4.505843680817634E-4
2377,7.315826369449496E-4
2378,0.0013520788634195924
2379,0.0019894230645149946
2380,0.002788059413433075
2381,0.003660037415102124
2382,0.0037548025138676167
2383,0.002353291492909193
2384,5.720133194699883E-4
2385,3.6798868677578866E-4
2386,0.0015131979016587138
2387,0.00233858753927052
2388,0.002799765905365348
2389,0.003117165993899107
2390,0.0020654688123613596
2391,5.049635074101388E-4
2392,0.001439300598576665
2393,0.0038260442670434713
2394,0.0036001044791191816
2395,0.001226885593496263
2396,2.2899467148818076E-4
2397,5.439956439658999E-4
2398,3.885103506036103E-4
2399,4.0612969314679503E-4
2400,0.0011466963915154338
2401,0.00129854551050812
2402,5.570976645685732E-4
2403,9.198121551889926E-5
2404,2.567483752500266E-4
2405,5.500820698216558E-4
2406,6.637561018578708E-4
2407,4.8737216275185347E-4
2408,1.9930435519199818E-4
2409,1.6436899022664875E-4
2410,3.2329358509741724E-4
2411,3.8864719681441784E-4
2412,3.7149383570067585E-4
2413,3.617579641286284E-4
2414,3.191145951859653E-4
2415,2.51332123298198E-4
2416,2.082483988488093E-4
2417,1.8028799968305975E-4
2418,1.7149513587355614E-4
2419,2.2993944003246725E-4
2420,3.127868694718927E-4
2421,2.7118384605273604E-4
2422,1.3857755402568728E-4
2423,1.9178658840246499E-4
2424,4.1359863826073706E-4
2425,3.806021704804152E-4
2426,1.6383729234803468E-4
2427,5.48405630979687E-4
2428,0.00180180580355227
2429,0.0031897546723484993
2430,0.003958174027502537
2431,0.0037541622295975685
2432,0.0025045217480510473
2433,9.494954720139503E-4
2434,3.4443745971657336E-4
2435,8.7103305850178E-4
2436,0.001428578281775117
2437,0.0011817975901067257
2438,4.501841322053224E-4
2439,9.493770630797371E-5
2440,3.349508624523878E-4
2441,5.353209562599659E-4
2442,3.587247047107667E-4
2443,1.666064199525863E-4
2444,1.2322052498348057E-4
2445,7.949328573886305E-5
2446,7.486598042305559E-5
2447,1.4397049380932003E-4
2448,1.6390906239394099E-4
2449,1.1361624638084322E-4
2450,9.247184789273888E-5
2451,1.538857031846419E-4
2452,2.0732653501909226E-4
2453,1.513510651420802E-4
2454,1.073354942491278E-4
2455,1.9659702957142144E-4
2456,2.738322946242988E-4
2457,2.236664149677381E-4
2458,1.273368688998744E-4
2459,5.53322461200878E-5
2460,4.159960735705681E-5
2461,8.53384772199206E-5
2462,1.0189638851443306E-4
2463,6.829974154243246E-5
2464,6.792866042815149E-5
2465,1.471542491344735E-4
2466,2.9841670766472816E-4
2467,4.925823886878788E-4
2468,6.147414678707719E-4
2469,5.336684989742935E-4
2470,3.4200993832200766E-4
2471,2.6390011771582067E-4
2472,2.709896652959287E-4
2473,2.0240664889570326E-4
2474,1.305715268244967E-4
2475,1.5501963207498193E-4
2476,1.696490217000246E-4
2477,1.1019251542165875E-4
2478,6.322308763628826E-5
2479,9.308745211455971E-5
2480,1.6331432561855763E-4
2481,1.777044526534155E-4
2482,1.0856801236514002E-4
2483,5.5375610827468336E-5
2484,7.544238906120881E-5
2485,9.970288374461234E-5
2486,7.82315619289875E-5
2487,4.394969801069237E-5
2488,3.7429723306559026E-5
2489,6.033247336745262E-5
2490,8.856068598106503E-5
2491,1.1262069165240973E-4
2492,1.3418168236967176E-4
2493,1.3535447942558676E-4
2494,1.083125825971365E-4
2495,7.414250285364687E-5
2496,5.147559568285942E-5
2497,5.572771988227032E-5
2498,1.0012237180490047E-4
2499,1.6150691953953356E-4
2500,1.8883186567109078E-4
2501,1.6827603394631296E-4
2502,1.3329187640920281E-4
2503,1.054744643624872E-4
2504,8.79565195646137E-5
2505,8.823250391287729E-5
2506,9.221908840117976E-5
2507,7.797944272169843E-5
2508,5.987870099488646E-5
2509,5.388588397181593E-5
2510,4.913341035717167E-5
2511,5.080984192318283E-5
2512,8.014895865926519E-5
2513,1.2327042350079864E-4
2514,1.3724164455197752E-4
2515,1.0704436135711148E-4
2516,7.008606917224824E-5
2517,7.456810271833092E-5
2518,1.1255696881562471E-4
2519,1.2721895473077893E-4
2520,9.873961244011298E-5
2521,6.65385668980889E-5
2522,6.171088898554444E-5
2523,7.773951801937073E-5
2524,9.676927584223449E-5
2525,1.040811839629896E-4
2526,9.566588414600119E-5
2527,8.353662269655615E-5
2528,7.390848622890189E-5
2529,5.656182111124508E-5
2530,4.200273542664945E-5
2531,6.685981497867033E-5
2532,1.2867599434684962E-4
2533,1.7050512542482466E-4
2534,1.548548461869359E-4
2535,1.0647383169271052E-4
2536,7.417344750138E-5
2537,7.586923311464489E-5
2538,9.110732935369015E-5
2539,1.0115543409483507E-4
2540,1.0759164433693513E-4
2541,1.0843106429092586E-4
2542,9.680273069534451E-5
2543,8.197424176614732E-5
2544,7.691328937653452E-5
2545,7.947931590024382E-5
2546,8.039452222874388E-5
2547,7.256905519170687E-5
2548,6.085661152610555E-5
2549,5.9348098147893324E-5
2550,6.309251330094412E-5
2551,5.730042539653368E-5
2552,5.1842329412465915E-5
2553,5.415134728536941E-5
2554,4.71965286124032E-5
2555,3.529221794451587E-5
2556,4.357991929282434E-5
2557,6.344213034026325E-5
2558,6.471497908933088E-5
2559,4.687026375904679E-5
2560,3.690041558002122E-5
2561,4.677348260884173E-5
2562,5.9959085774607956E-5
2563,6.551369006047025E-5
2564,6.53019524179399E-5
2565,5.666020297212526E-5
2566,6.830847269156948E-5
2567,1.4073759666644037E-4
2568,2.0935453358106315E-4
2569,1.6173877520486712E-4
2570,4.898453698842786E-5
2571,2.9841008654329926E-5
2572,1.0491924331290647E-4
2573,1.3459242472890764E-4
2574,8.357063052244484E-5
2575,3.5087163269054145E-5
2576,3.741497130249627E-5
2577,9.22757972148247E-5
2578,1.723209861665964E-4
2579,1.9678502576425672E-4
2580,1.4303455827757716E-4
2581,1.0213263158220798E-4
2582,1.1016619828296825E-4
2583,1.167248046840541E-4
2584,1.1990641360171139E-4
2585,1.2429441267158836E-4
2586,9.547175432089716E-5
2587,6.387714529410005E-5
2588,7.903006189735606E-5
2589,9.934046101989225E-5
2590,8.19439665065147E-5
2591,5.7399367506150156E-5
2592,7.546997221652418E-5
2593,1.6349894576705992E-4
2594,2.542833099141717E-4
2595,2.153578243451193E-4
2596,8.908287418307737E-5
2597,4.8399913794128224E-5
2598,6.576665327884257E-5
2599,4.3505977373570204E-5
2600,8.612182864453644E-5
2601,2.1582412591669708E-4
2602,2.480055554769933E-4
2603,1.6060688358265907E-4
2604,9.464663889957592E-5
2605,9.0812383859884E-5
2606,1.3020224287174642E-4
2607,1.7779743939172477E-4
2608,1.7381305224262178E-4
2609,1.3831054093316197E-4
2610,1.2384055298753083E-4
2611,1.0820935858646408E-4
2612,7.43812634027563E-5
2613,5.871174289495684E-5
2614,7.499475032091141E-5
2615,9.376533125760034E-5
2616,9.105577191803604E-5
2617,7.19599993317388E-5
2618,5.518742182175629E-5
2619,5.373164458433166E-5
2620,7.217336678877473E-5
2621,1.198215686599724E-4
2622,1.982126123039052E-4
2623,2.696290030144155E-4
2624,2.8450475656427443E-4
2625,2.2659706883132458E-4
2626,1.2549094390124083E-4
2627,5.838372453581542E-5
2628,6.71753950882703E-5
2629,8.302477363031358E-5
