SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,8.201529999496415E-5
1,5.1566981710493565E-5
2,8.14813538454473E-5
3,1.5230516146402806E-4
4,1.6686992603354156E-4
5,9.68600288615562E-5
6,3.7303147109923884E-5
7,3.865456528728828E-5
8,4.770569285028614E-5
9,3.349503094796091E-5
10,2.677770498848986E-5
11,4.0212817111751065E-5
12,4.938429992762394E-5
13,4.9688027502270415E-5
14,6.789561302866787E-5
15,1.1289890244370326E-4
16,1.5471498772967607E-4
17,1.5831431664992124E-4
18,1.2107910879421979E-4
19,7.343367906287313E-5
20,4.895833262708038E-5
21,5.941916606388986E-5
22,8.733206050237641E-5
23,9.82696219580248E-5
24,7.782640750519931E-5
25,4.633016214938834E-5
26,2.871461765607819E-5
27,3.16128644044511E-5
28,4.0008580981520936E-5
29,3.537346492521465E-5
30,3.9371785533148795E-5
31,9.18500154512003E-5
32,1.6547222912777215E-4
33,1.8934611580334604E-4
34,1.5898649871814996E-4
35,1.2609222903847694E-4
36,1.0916117753367871E-4
37,1.0110672155860811E-4
38,1.044902455760166E-4
39,1.0102808300871402E-4
40,6.761701661162078E-5
41,3.238337012589909E-5
42,3.2144107535714284E-5
43,4.934893877361901E-5
44,5.283176506054588E-5
45,5.113658698974177E-5
46,6.452067464124411E-5
47,8.138507109833881E-5
48,9.048367792274803E-5
49,1.2272725871298462E-4
50,1.8078940047416836E-4
51,1.9383180188015103E-4
52,1.391782279824838E-4
53,8.779847848927602E-5
54,7.037272007437423E-5
55,5.3701420256402344E-5
56,3.492178439046256E-5
57,3.375443338882178E-5
58,5.731866622227244E-5
59,1.0547049896558747E-4
60,1.4819696662016213E-4
61,1.4556427777279168E-4
62,1.0507440310902894E-4
63,6.278780347201973E-5
64,3.814787487499416E-5
65,2.7565598429646343E-5
66,2.0210669390507974E-5
67,2.204065276600886E-5
68,4.05407372454647E-5
69,5.6112843594746664E-5
70,5.188542854739353E-5
71,3.946697324863635E-5
72,3.5245153412688524E-5
73,4.1006624087458476E-5
74,4.869844997301698E-5
75,6.259045039769262E-5
76,9.585473162587732E-5
77,1.2680963845923543E-4
78,1.1512930359458551E-4
79,6.930528616067022E-5
80,3.653510066214949E-5
81,4.536705819191411E-5
82,9.268665598938242E-5
83,1.514672621851787E-4
84,1.795077114365995E-4
85,1.5644190716557205E-4
86,1.1323351645842195E-4
87,8.709065150469542E-5
88,7.118488429114223E-5
89,5.4375228501157835E-5
90,5.0319282308919355E-5
91,5.6148030125768855E-5
92,5.858986696694046E-5
93,6.892954115755856E-5
94,9.602445788914338E-5
95,1.3266610039863735E-4
96,1.7431349260732532E-4
97,2.008202427532524E-4
98,1.8469976203050464E-4
99,1.4121952699497342E-4
100,1.070415455615148E-4
101,8.629632066003978E-5
102,6.842171569587663E-5
103,5.8121087931795046E-5
104,5.907751983613707E-5
105,5.949581100139767E-5
106,4.723367601400241E-5
107,2.8931477572768927E-5
108,2.098454933729954E-5
109,2.585373840702232E-5
110,3.505532004055567E-5
111,4.618213279172778E-5
112,6.260835652938113E-5
113,8.501837874064222E-5
114,1.1456365609774366E-4
115,1.5553092816844583E-4
116,1.9100995268672705E-4
117,1.8451892537996173E-4
118,1.4087998715694994E-4
119,1.0335918341297656E-4
120,7.98152614152059E-5
121,5.556427640840411E-5
122,4.245714080752805E-5
123,4.916193211101927E-5
124,6.450249202316627E-5
125,7.911839202279225E-5
126,7.85855736467056E-5
127,5.919047907809727E-5
128,4.8443558625876904E-5
129,5.54774196643848E-5
130,5.5797489039832726E-5
131,5.1531667850213125E-5
132,6.713215407216921E-5
133,1.0055141319753602E-4
134,1.3717581168748438E-4
135,1.606545556569472E-4
136,1.433124707546085E-4
137,9.136438893619925E-5
138,5.436442734207958E-5
139,4.891583012067713E-5
140,5.3347401262726635E-5
141,6.780410330975428E-5
142,9.141599730355665E-5
143,9.19094673008658E-5
144,6.098160883993842E-5
145,3.5491317248670384E-5
146,3.754255885723978E-5
147,4.611290933098644E-5
148,3.757102967938408E-5
149,2.1326772184693255E-5
150,2.0529165340121835E-5
151,3.781853592954576E-5
152,5.7326040405314416E-5
153,6.330991891445592E-5
154,5.16821164637804E-5
155,3.546045263647102E-5
156,3.0648592655779794E-5
157,3.7393336242530495E-5
158,4.7229546908056363E-5
159,5.6837463489500806E-5
