SHARAD Reading at Lat,Lon: 85.0937, 318.1997
Line (Pixels),Value (DN)
2350,6.982695049373433E-5
2351,8.547998004360124E-5
2352,7.368651131400838E-5
2353,4.179260213277303E-5
2354,3.955198189942166E-5
2355,7.850905967643484E-5
2356,1.0569630831014365E-4
2357,1.00312965514604E-4
2358,9.865575702860951E-5
2359,1.0963653767248616E-4
2360,1.0395429126219824E-4
2361,9.701366070657969E-5
2362,3.0090188374742866E-4
2363,0.0013473123544827104
2364,0.003979865461587906
2365,0.007621008902788162
2366,0.00966053456068039
2367,0.008023032918572426
2368,0.004150074906647205
2369,0.0012180684134364128
2370,2.3517179943155497E-4
2371,1.5290950250346214E-4
2372,2.943165018223226E-4
2373,6.089668604545295E-4
2374,8.874779450707138E-4
2375,8.944061119109392E-4
2376,6.155070732347667E-4
2377,2.717795723583549E-4
2378,2.968457993119955E-4
2379,9.940413292497396E-4
2380,0.0020320876501500607
2381,0.002448463812470436
2382,0.0016821845201775432
2383,5.615660338662565E-4
2384,3.093346895184368E-4
2385,7.912765140645206E-4
2386,9.638419724069536E-4
2387,5.731094861403108E-4
2388,1.911065191961825E-4
2389,1.0684871085686609E-4
2390,1.919223286677152E-4
2391,3.5412731813266873E-4
2392,4.5989835052751005E-4
2393,3.710611490532756E-4
2394,2.2255777730606496E-4
2395,2.467900048941374E-4
2396,8.742556092329323E-4
2397,0.0026511221658438444
2398,0.004725589416921139
2399,0.0049256752245128155
2400,0.002891075098887086
2401,8.107493631541729E-4
2402,2.3038129438646138E-4
2403,5.668947123922408E-4
2404,7.626851438544691E-4
2405,6.583264912478626E-4
2406,7.607844891026616E-4
2407,0.001126929884776473
2408,0.0010791978565976024
2409,5.281090270727873E-4
2410,2.9889782308600843E-4
2411,5.743115907534957E-4
2412,7.064612000249326E-4
2413,6.750993779860437E-4
2414,9.912971872836351E-4
2415,0.0014528167666867375
2416,0.0014412144664674997
2417,0.0010148275177925825
2418,7.060290081426501E-4
2419,6.534088170155883E-4
2420,5.863209953531623E-4
2421,4.0464516496285796E-4
2422,3.1986882095225155E-4
2423,4.567875585053116E-4
2424,6.424762541428208E-4
2425,6.638598279096186E-4
2426,4.94138861540705E-4
2427,2.641443279571831E-4
2428,1.483863452449441E-4
2429,1.9290094496682286E-4
2430,3.5430272691883147E-4
2431,7.328516221605241E-4
2432,0.0012966019567102194
2433,0.0015361469704657793
2434,0.0011168397031724453
2435,4.8387623974122107E-4
2436,1.7505681898910552E-4
2437,1.5574446297250688E-4
2438,2.1627949899993837E-4
2439,3.257651987951249E-4
2440,4.408255044836551E-4
2441,4.750057705678046E-4
2442,4.287888004910201E-4
2443,3.32560739479959E-4
2444,2.0426762057468295E-4
2445,9.580281766830012E-5
2446,6.049591684131883E-5
2447,1.1074914800701663E-4
2448,2.1231146820355207E-4
2449,2.8102542273700237E-4
2450,2.6806455571204424E-4
2451,2.2818167053628713E-4
2452,2.0862906239926815E-4
2453,1.756023266352713E-4
2454,1.1605058534769341E-4
2455,7.583742262795568E-5
2456,7.506091787945479E-5
2457,9.277092613046989E-5
2458,1.1813599121524021E-4
2459,1.468278787797317E-4
2460,1.5977921430021524E-4
2461,1.516585034551099E-4
2462,1.5259216888807714E-4
2463,1.8767664732877165E-4
2464,2.3268928634934127E-4
2465,2.4314959591720253E-4
2466,2.1162252232898027E-4
2467,1.6263601719401777E-4
2468,1.2017629342153668E-4
2469,1.0591212776489556E-4
2470,1.2410838098730892E-4
2471,1.4279271999839693E-4
2472,1.347318320767954E-4
2473,1.1236478167120367E-4
2474,9.317715012002736E-5
2475,7.94387306086719E-5
2476,8.204075129469857E-5
2477,1.0962318629026413E-4
2478,1.3829694944433868E-4
2479,1.3644836144521832E-4
2480,1.0608552838675678E-4
2481,7.335613190662116E-5
2482,5.811914525111206E-5
2483,6.088399823056534E-5
2484,6.448898056987673E-5
2485,5.834441617480479E-5
2486,5.685046562575735E-5
2487,7.017168536549434E-5
2488,8.179484575521201E-5
2489,7.881659257691354E-5
2490,7.109042053343728E-5
2491,7.314646063605323E-5
2492,9.812166535994038E-5
2493,1.5854556113481522E-4
2494,2.4633665452711284E-4
2495,3.240568330511451E-4
2496,3.536177391652018E-4
2497,3.276461793575436E-4
2498,2.642111212480813E-4
2499,1.8409575568512082E-4
2500,1.1010007438017055E-4
2501,6.693070463370532E-5
2502,5.6438100727973506E-5
2503,5.784975292044692E-5
2504,6.1030223150737584E-5
2505,6.499089067801833E-5
2506,6.149340333649889E-5
2507,5.925836740061641E-5
2508,8.666171197546646E-5
2509,1.3964709069114178E-4
2510,1.724247122183442E-4
2511,1.59128408995457E-4
2512,1.2534552661236376E-4
2513,1.0577298962743953E-4
2514,9.828825568547472E-5
2515,8.003225229913369E-5
2516,5.548879562411457E-5
2517,4.92316648887936E-5
2518,6.397583638317883E-5
2519,1.1030648602172732E-4
2520,2.159522846341133E-4
2521,3.1356283579953015E-4
2522,2.796007029246539E-4
2523,1.7350730195175856E-4
2524,1.7862673848867416E-4
2525,2.8003635816276073E-4
2526,3.0334823532029986E-4
2527,2.148065686924383E-4
2528,1.2546252401079983E-4
2529,9.646560647524893E-5
2530,1.063434174284339E-4
2531,1.296817063121125E-4
2532,1.4598197594750673E-4
2533,1.2969448289368302E-4
2534,1.0740306606749073E-4
2535,1.4498239033855498E-4
2536,2.3095608048606664E-4
2537,2.6680532027967274E-4
2538,1.939073990797624E-4
2539,1.2409340706653893E-4
2540,2.6824729866348207E-4
2541,5.604469915851951E-4
2542,6.111729890108109E-4
2543,3.300247772131115E-4
2544,9.863715968094766E-5
2545,9.74696158664301E-5
2546,1.2264109682291746E-4
2547,1.0596192441880703E-4
2548,1.6808016516733915E-4
2549,2.797453198581934E-4
2550,3.2387246028520167E-4
2551,2.966122701764107E-4
2552,2.3584144946653396E-4
2553,1.524863764643669E-4
2554,8.17034742794931E-5
2555,5.7026027207029983E-5
2556,6.562683847732842E-5
2557,8.532640640623868E-5
2558,1.033165244734846E-4
2559,1.0943230154225603E-4
2560,1.0803984332596883E-4
2561,1.06882827822119E-4
2562,1.1165639443788677E-4
2563,1.287034247070551E-4
2564,1.3969441351946443E-4
2565,1.2825448357034475E-4
2566,1.1770689889090136E-4
2567,1.219144687638618E-4
2568,1.2945322669111192E-4
2569,1.3761316949967295E-4
