SHARAD Reading at Lat,Lon: 83.7507, 303.9919
Line (Pixels),Value (DN)
0,1.3540979125536978E-4
1,1.0352339450037107E-4
2,6.91256282152608E-5
3,6.140181358205155E-5
4,7.268389163073152E-5
5,8.050074393395334E-5
6,7.260769052663818E-5
7,5.306423918227665E-5
8,3.6186178476782516E-5
9,3.4508670069044456E-5
10,4.6836172259645537E-5
11,5.9859794419026E-5
12,6.345303700072691E-5
13,6.298861262621358E-5
14,7.903724326752126E-5
15,1.203278879984282E-4
16,1.5099786105565727E-4
17,1.2911588419228792E-4
18,7.975050539243966E-5
19,6.329813913907856E-5
20,8.45612448756583E-5
21,9.996075823437423E-5
22,8.894153870642185E-5
23,6.837831460870802E-5
24,5.9741156292147934E-5
25,7.30707251932472E-5
26,1.0619787644827738E-4
27,1.355646672891453E-4
28,1.3008387759327888E-4
29,9.623287041904405E-5
30,7.006102532614022E-5
31,5.949658589088358E-5
32,5.071858686278574E-5
33,4.524945325101726E-5
34,4.290881770430133E-5
35,3.819652192760259E-5
36,3.7058220186736435E-5
37,3.6074237868888304E-5
38,3.1527597457170486E-5
39,4.059418643009849E-5
40,5.7923622080124915E-5
41,5.65317714062985E-5
42,4.365894346847199E-5
43,4.1000821511261165E-5
44,5.122999573359266E-5
45,6.888261123094708E-5
46,7.563241524621844E-5
47,5.803531166748144E-5
48,3.5898297937819734E-5
49,3.1487896194448695E-5
50,4.8460569814778864E-5
51,8.520152186974883E-5
52,1.266425388166681E-4
53,1.497551129432395E-4
54,1.488828711444512E-4
55,1.3148401922080666E-4
56,1.059863789123483E-4
57,8.034314669203013E-5
58,5.82387947360985E-5
59,4.37753988080658E-5
60,4.319432264310308E-5
61,5.076778325019404E-5
62,4.925140819977969E-5
63,3.488835136522539E-5
64,3.0161294489516877E-5
65,5.3507617849390954E-5
66,8.322898065671325E-5
67,8.483113924739882E-5
68,6.289003795245662E-5
69,4.505570177570917E-5
70,4.254735540598631E-5
71,5.795552715426311E-5
72,8.430322486674413E-5
73,9.061351011041552E-5
74,6.411290814867243E-5
75,4.133072434342466E-5
76,5.391775630414486E-5
77,8.42635563458316E-5
78,9.507560025667772E-5
79,7.597203511977568E-5
80,5.5947111832210794E-5
81,6.616506288992241E-5
82,9.647238766774535E-5
83,1.1250605894019827E-4
84,9.899926226353273E-5
85,6.628369010286406E-5
86,3.5591176128946245E-5
87,2.1565789211308584E-5
88,2.1761437892564572E-5
89,3.05573848891072E-5
90,4.550672383629717E-5
91,5.5668635468464345E-5
92,5.346780380932614E-5
93,4.679017001762986E-5
94,4.166638245806098E-5
95,3.911402745870873E-5
96,4.488434569793753E-5
97,5.858566510141827E-5
98,7.303882739506662E-5
99,8.928203897085041E-5
100,1.066467011696659E-4
101,1.1470672325231135E-4
102,1.1776978499256074E-4
103,1.3276765821501613E-4
104,1.52559470734559E-4
105,1.5745940618216991E-4
106,1.4837343769613653E-4
107,1.2662036169786006E-4
108,8.776570757618174E-5
109,5.1793580496450886E-5
110,3.8565241993637756E-5
111,3.544244100339711E-5
112,3.020576150447596E-5
113,2.8053842470399104E-5
114,2.985644641739782E-5
115,3.30254333675839E-5
116,3.900408773915842E-5
117,4.8842157411854714E-5
118,6.211818981682882E-5
119,7.446121890097857E-5
120,8.018370135687292E-5
121,7.821103645255789E-5
122,6.701899110339582E-5
123,4.758720024256036E-5
124,3.4263455745531246E-5
125,4.1185568989021704E-5
126,5.834509647684172E-5
127,6.092879266361706E-5
128,4.500392606132664E-5
129,3.636670589912683E-5
130,5.596807022811845E-5
131,9.316025534644723E-5
132,1.2376160884741694E-4
133,1.3946881517767906E-4
134,1.4384194219019264E-4
135,1.3022769417148083E-4
136,9.514153498457745E-5
137,7.02547185937874E-5
138,8.952568896347657E-5
139,1.2718744983430952E-4
140,1.3172897160984576E-4
141,1.0542864038143307E-4
142,9.043043246492743E-5
143,1.0332200326956809E-4
144,1.239678676938638E-4
145,1.331190433120355E-4
146,1.394485152559355E-4
147,1.5367387095466256E-4
148,1.625415461603552E-4
149,1.6499438788741827E-4
150,1.7489273159299046E-4
151,1.7075406503863633E-4
152,1.3244627916719764E-4
153,9.479866275796667E-5
154,8.686813816893846E-5
155,9.014910028781742E-5
156,8.407824498135597E-5
157,6.819538975832984E-5
158,5.3589614253723994E-5
159,4.983746839570813E-5
160,4.885551243205555E-5
161,4.552547761704773E-5
162,5.323836376192048E-5
163,7.26414582459256E-5
164,8.514185901731253E-5
165,7.770981028443202E-5
166,5.124262679601088E-5
167,2.615768971736543E-5
168,2.7971287636319175E-5
169,4.9071746616391465E-5
170,5.853144466527738E-5
171,4.837682354263961E-5
172,3.703037145896815E-5
173,3.874806498060934E-5
174,4.815381544176489E-5
175,5.029695967095904E-5
176,4.269996134098619E-5
177,3.745375215657987E-5
178,3.7383990274975076E-5
179,3.484073749859817E-5
180,3.5803979699267074E-5
181,5.067182792117819E-5
182,6.951648538233712E-5
183,7.774474215693772E-5
184,7.712874503340572E-5
185,7.628271850990131E-5
186,7.939164061099291E-5
187,8.149146742653102E-5
188,7.050506246741861E-5
189,4.802717739949003E-5
190,3.4047214285237715E-5
191,3.384015508345328E-5
192,3.0182351110852323E-5
193,2.6164207156398334E-5
194,5.30478500877507E-5
195,1.1567482579266652E-4
196,1.6900345508474857E-4
197,1.6498719924129546E-4
198,1.0840920003829524E-4
199,5.637687354465015E-5
200,5.040043834014796E-5
201,7.088751590345055E-5
202,8.240255556302145E-5
203,7.672395440749824E-5
204,5.744322334066965E-5
205,3.818717596004717E-5
206,4.311183874960989E-5
207,7.027892570476979E-5
208,9.01554521988146E-5
209,9.036515257321298E-5
210,8.271054684882984E-5
211,7.546916458522901E-5
212,6.808432226534933E-5
213,6.319504609564319E-5
214,6.752993795089424E-5
215,8.276854350697249E-5
216,1.0034160368377343E-4
217,1.0663040302461013E-4
218,9.704601689008996E-5
219,8.42653535073623E-5
220,8.374388562515378E-5
221,9.189006959786639E-5
222,8.913099009077996E-5
223,6.811550701968372E-5
224,5.177407365408726E-5
225,6.903550092829391E-5
226,1.1061295663239434E-4
227,1.3217536616139114E-4
228,1.1341061326675117E-4
229,8.589174103690311E-5
230,8.15044913906604E-5
231,8.740742487134412E-5
232,8.097935642581433E-5
233,6.946372741367668E-5
234,6.576223677257076E-5
235,6.520871102111414E-5
236,6.257550558075309E-5
237,5.756049358751625E-5
238,4.7680670832050964E-5
239,3.703930997289717E-5
240,3.21605330100283E-5
241,3.185553941875696E-5
242,4.1127786971628666E-5
243,6.624234811170027E-5
244,9.33119299588725E-5
245,1.0597383516142145E-4
246,1.051381987053901E-4
247,9.547642548568547E-5
248,7.685163291171193E-5
249,5.016445356886834E-5
250,2.5522329451632686E-5
251,2.100499114021659E-5
252,4.1298637370346114E-5
253,6.736665818607435E-5
254,7.786109927110374E-5
255,7.471452408935875E-5
256,8.352394070243463E-5
257,1.1741570051526651E-4
258,1.4745263615623116E-4
259,1.4047384320292622E-4
260,1.099863657145761E-4
261,8.92305324668996E-5
262,8.19852648419328E-5
263,7.75974040152505E-5
264,8.206363418139517E-5
265,1.0465069499332458E-4
266,1.3020860205870122E-4
267,1.2509411317296326E-4
268,8.480994438286871E-5
269,5.171798693481833E-5
270,5.106300159241073E-5
271,6.14404198131524E-5
272,7.19497402315028E-5
273,8.632019307697192E-5
274,8.660087041789666E-5
275,6.795312219765037E-5
276,5.450761818792671E-5
277,5.239785969024524E-5
278,4.771429667016491E-5
279,3.853812086163089E-5
280,3.722550900420174E-5
281,5.2999152103438973E-5
282,7.451410783687606E-5
283,8.32322912174277E-5
284,8.14273371361196E-5
285,7.987757271621376E-5
286,8.216530113713816E-5
287,9.169475379167125E-5
288,9.705730190034956E-5
289,7.524435932282358E-5
290,3.79656303266529E-5
291,2.3466218408429995E-5
292,3.512832699925639E-5
293,4.387694934848696E-5
294,4.115303454454988E-5
295,4.43008029833436E-5
296,6.462294550146908E-5
297,9.339182724943385E-5
298,1.0521549120312557E-4
299,8.66085320012644E-5
300,7.196889055194333E-5
301,1.0173809278057888E-4
302,1.5024961612652987E-4
303,1.6594053886365145E-4
304,1.483026280766353E-4
305,1.228347682626918E-4
306,9.741211397340521E-5
307,7.691665814490989E-5
308,6.965699139982462E-5
309,7.269355410244316E-5
310,7.400067988783121E-5
311,6.732965266564861E-5
312,6.0297406889731064E-5
313,6.046413182048127E-5
314,6.565265357494354E-5
315,7.882091449573636E-5
316,9.956267604138702E-5
317,1.0911763820331544E-4
318,1.0247505997540429E-4
319,9.90840999293141E-5
320,1.0482235666131601E-4
321,1.0900044435402378E-4
322,1.0551915329415351E-4
323,8.993560186354443E-5
324,6.640197534579784E-5
325,6.031908924342133E-5
326,8.974860975285992E-5
327,1.2909020006190985E-4
328,1.3696377573069185E-4
329,1.1433983308961615E-4
330,9.301323007093742E-5
331,8.440403325948864E-5
332,8.311741112265736E-5
333,8.536226232536137E-5
334,7.886717503424734E-5
335,5.77286264160648E-5
336,3.863387610181235E-5
337,3.0308912755572237E-5
338,2.4949129510787316E-5
339,2.7279616915620863E-5
340,4.2954226955771446E-5
341,5.7224042393499985E-5
342,6.20806822553277E-5
343,6.661716906819493E-5
344,7.502502558054402E-5
345,9.860688442131504E-5
346,1.5601406630594283E-4
347,2.224605850642547E-4
348,2.381158119533211E-4
349,1.8904282478615642E-4
350,1.1986918980255723E-4
351,6.995601142989472E-5
352,4.541350790532306E-5
353,3.7967500247759745E-5
354,3.8001999200787395E-5
355,3.63322178600356E-5
356,2.8864624255220406E-5
357,2.315204983460717E-5
358,3.3104708563769236E-5
359,5.6688106269575655E-5
360,6.958193989703432E-5
361,5.736218736274168E-5
362,3.783092324738391E-5
363,3.614271554397419E-5
364,5.5007021728670225E-5
365,7.539284706581384E-5
366,7.617075607413426E-5
367,5.743204746977426E-5
368,4.088221612619236E-5
369,3.904939512722194E-5
370,4.2697305616457015E-5
371,4.273086233297363E-5
372,4.164860729360953E-5
373,4.8667217924958095E-5
374,7.019712211331353E-5
375,9.105342905968428E-5
376,8.975477248895913E-5
377,8.158320997608826E-5
378,9.364557627122849E-5
379,1.1234434350626543E-4
380,1.1320908379275352E-4
381,9.902464807964861E-5
382,7.705292227910832E-5
383,5.424649134511128E-5
384,4.859239561483264E-5
385,6.496524292742833E-5
386,8.77689162734896E-5
387,1.0404767090221867E-4
388,1.048003978212364E-4
389,8.499439718434587E-5
390,6.360519910231233E-5
391,6.94003829266876E-5
392,9.621511708246544E-5
393,1.1218420695513487E-4
394,1.0943758388748392E-4
395,1.0208453750237823E-4
396,9.170616249321029E-5
397,7.198729872470722E-5
398,5.185222835280001E-5
399,4.843724309466779E-5
400,5.77338578295894E-5
401,5.5236661864910275E-5
402,3.896788621204905E-5
403,3.715768252732232E-5
404,5.960274575045332E-5
405,8.435192285105586E-5
406,9.350818436359987E-5
407,8.683321357239038E-5
408,7.495367026422173E-5
409,7.817362347850576E-5
410,1.0721149737946689E-4
411,1.4216298586688936E-4
412,1.5301795792765915E-4
413,1.3236286758910865E-4
414,1.0094446770381182E-4
415,8.800537034403533E-5
416,9.552828851155937E-5
417,9.60290344664827E-5
418,7.936121983220801E-5
419,6.252802268136293E-5
420,5.404146941145882E-5
421,5.049872925155796E-5
422,5.0499787903390825E-5
423,5.3004692745162174E-5
424,5.96828103880398E-5
425,7.071557774906978E-5
426,7.781405292917043E-5
427,7.601868855999783E-5
428,6.989103712840006E-5
429,7.086787081789225E-5
430,9.143461647909135E-5
431,1.2134399003116414E-4
432,1.3303462765179574E-4
433,1.2447041808627546E-4
434,1.1358742631273344E-4
435,1.0412408300908282E-4
436,9.526275971438736E-5
437,8.93774486030452E-5
438,7.98189576016739E-5
439,6.659208156634122E-5
440,6.31462098681368E-5
441,7.119335350580513E-5
442,8.273794082924724E-5
443,9.495464473729953E-5
444,9.882340236799791E-5
445,8.864098344929516E-5
446,8.380987128475681E-5
447,9.839416452450678E-5
448,1.1008956789737567E-4
449,9.521145693724975E-5
450,6.867497722851112E-5
451,6.521803152281791E-5
452,9.391025378135964E-5
453,1.3013517309445888E-4
454,1.530952868051827E-4
455,1.633227220736444E-4
456,1.590389001648873E-4
457,1.3529819261748344E-4
458,1.0561205999692902E-4
459,8.967680332716554E-5
460,9.16600547498092E-5
461,1.0323511378373951E-4
462,1.1193015234312043E-4
463,1.1413884931243956E-4
464,1.1787809489760548E-4
465,1.2095683632651344E-4
466,1.1422504030633718E-4
467,9.977549052564427E-5
468,7.928574632387608E-5
469,5.9360892919357866E-5
470,6.0257414588704705E-5
471,8.028868614928797E-5
472,9.661083458922803E-5
473,1.0495946480659768E-4
474,1.0695410310290754E-4
475,9.562303603161126E-5
476,7.935614848975092E-5
477,7.649613689864054E-5
478,9.438232518732548E-5
479,1.2596730084624141E-4
480,1.4197887503542006E-4
481,1.1484386050142348E-4
482,6.554785068146884E-5
483,3.732370532816276E-5
484,3.943271440220997E-5
485,5.880837488803081E-5
486,8.105482993414626E-5
487,8.509471081197262E-5
488,6.588816177099943E-5
489,4.770512896357104E-5
490,4.789474041899666E-5
491,5.9969243011437356E-5
492,7.756448030704632E-5
493,9.928739018505439E-5
494,1.1179930879734457E-4
495,9.90122280200012E-5
496,6.834822124801576E-5
497,4.5555552787845954E-5
498,4.6287055738503113E-5
499,6.928705261088908E-5
500,1.038151967804879E-4
501,1.268055639229715E-4
502,1.1482665286166593E-4
503,7.375102723017335E-5
504,3.484320404822938E-5
505,1.9069893824052997E-5
506,2.3887198040029034E-5
507,3.7701745895901695E-5
508,5.228054214967415E-5
509,6.2063496443443E-5
510,5.9508824051590636E-5
511,4.298356725485064E-5
512,2.5175711925840005E-5
513,1.836344199546147E-5
514,2.18810819205828E-5
515,3.148383984807879E-5
516,4.021479981020093E-5
517,3.7308662285795435E-5
518,2.605770896479953E-5
519,2.219118869106751E-5
520,3.323486089357175E-5
521,5.958911424386315E-5
522,9.322608093498275E-5
523,1.1138094123452902E-4
524,1.0399908933322877E-4
525,9.289258741773665E-5
526,9.831429633777589E-5
527,1.074118263204582E-4
528,9.594677976565436E-5
529,6.975635915296152E-5
530,6.275207124417648E-5
531,9.135826985584572E-5
532,1.292797678615898E-4
533,1.3779728033114225E-4
534,1.128529547713697E-4
535,8.532097126590088E-5
536,7.594779162900522E-5
537,7.501896470785141E-5
538,6.815281813032925E-5
539,6.055827907403E-5
540,6.803697760915384E-5
541,8.477837400278077E-5
542,8.531269122613594E-5
543,7.734189421171322E-5
544,9.641786891734228E-5
545,1.2744375271722674E-4
546,1.1680863099172711E-4
547,7.092476880643517E-5
548,4.74732878501527E-5
549,5.571723522734828E-5
550,6.097655568737537E-5
551,6.882702291477472E-5
552,1.0426804510643706E-4
553,1.382536574965343E-4
554,1.3089906133245677E-4
555,9.947882790584117E-5
556,7.72244602558203E-5
557,6.806920282542706E-5
558,7.442042988259345E-5
559,1.118723739637062E-4
560,1.7443011165596545E-4
561,2.16166241443716E-4
562,1.9565386173781008E-4
563,1.2761454854626209E-4
564,6.224969547474757E-5
565,2.967450018331874E-5
566,2.9329603421501815E-5
567,5.153907841304317E-5
568,8.599937427788973E-5
569,1.1964459554292262E-4
570,1.4226941857486963E-4
571,1.505412074038759E-4
572,1.3992219464853406E-4
573,1.0912530706264079E-4
574,7.557154458481818E-5
575,5.9196900110691786E-5
576,5.877517469343729E-5
577,6.838866829639301E-5
578,8.68901188368909E-5
579,9.80721742962487E-5
580,8.701390470378101E-5
581,7.352603279286996E-5
582,8.943810826167464E-5
583,1.3735629909206182E-4
584,1.9154259643983096E-4
585,2.2311758948490024E-4
586,2.1992603433318436E-4
587,1.921529765240848E-4
588,1.6353954561054707E-4
589,1.4952545461710542E-4
590,1.373075065203011E-4
591,1.0768276115413755E-4
592,7.293786620721221E-5
593,5.584683094639331E-5
594,5.251144102658145E-5
595,5.0228143663844094E-5
596,5.1182727474952117E-5
597,6.460761505877599E-5
598,9.166316158371046E-5
599,1.1636249109869823E-4
600,1.2436730321496725E-4
601,1.2810100452043116E-4
602,1.4473209739662707E-4
603,1.6447785310447216E-4
604,1.6069122648332268E-4
605,1.2302838149480522E-4
606,7.938892667880282E-5
607,6.692844181088731E-5
608,7.953513704705983E-5
609,8.552919462090358E-5
610,8.211018575821072E-5
611,8.316642924910411E-5
612,8.244952914537862E-5
613,6.84210317558609E-5
614,4.8573612730251625E-5
615,4.0856579289538786E-5
616,5.5666947446297854E-5
617,8.444077684544027E-5
618,1.0779895092127845E-4
619,1.1814683239208534E-4
620,1.1397024354664609E-4
621,8.771613647695631E-5
622,5.0305221520829946E-5
623,3.4448989026714116E-5
624,5.146902549313381E-5
625,7.643121352884918E-5
626,8.137145050568506E-5
627,6.514792767120525E-5
628,4.8981444706441835E-5
629,5.030640750192106E-5
630,6.748828309355304E-5
631,8.651201642351225E-5
632,9.893393871607259E-5
633,1.0758276039268821E-4
634,1.1028587323380634E-4
635,1.0221227421425283E-4
636,9.326102735940367E-5
637,8.643267210572958E-5
638,6.558756285812706E-5
639,3.634565291577019E-5
640,2.7958816644968465E-5
641,4.2142495658481494E-5
642,5.3956675401423126E-5
643,5.589471766143106E-5
644,6.216182373464108E-5
645,8.172391972038895E-5
646,1.0400065366411582E-4
647,1.0818022565217689E-4
648,9.084155317395926E-5
649,7.717315020272508E-5
650,8.908328891266137E-5
651,1.1195745173608884E-4
652,1.1303120845695958E-4
653,9.268558642361313E-5
654,8.919712126953527E-5
655,1.1553234799066558E-4
656,1.3597002543974668E-4
657,1.2591903214342892E-4
658,9.795374353416264E-5
659,6.905788177391514E-5
660,4.94807718496304E-5
661,3.9905105950310826E-5
662,3.0150153179420158E-5
663,2.6929352316074073E-5
664,4.969117071595974E-5
665,8.929928299039602E-5
666,1.1525084846653044E-4
667,1.1306696978863329E-4
668,8.916985098039731E-5
669,5.9234054788248613E-5
670,4.1430517740081996E-5
671,4.685159001382999E-5
672,6.769107130821794E-5
673,8.366734255105257E-5
674,8.830129081616178E-5
675,9.203724039252847E-5
676,9.801320265978575E-5
677,9.791614866117015E-5
678,8.748788968659937E-5
679,7.216459198389202E-5
680,6.068271250114776E-5
681,5.436261199065484E-5
682,4.6987857786007226E-5
683,3.927692159777507E-5
684,4.140945020481013E-5
685,5.5563308706041425E-5
686,7.266311149578542E-5
687,8.97368518053554E-5
688,1.0593486513243988E-4
689,1.0884615767281502E-4
690,9.687419515103102E-5
691,9.011335350805894E-5
692,9.302148100687191E-5
693,8.599869761383161E-5
694,6.262498209252954E-5
695,3.8571848563151434E-5
696,2.9548564270953648E-5
697,3.671468221000396E-5
698,4.7899138735374436E-5
699,5.720916669815779E-5
700,7.253005605889484E-5
701,9.167851385427639E-5
702,9.983746713260189E-5
703,9.430912177776918E-5
704,8.182733290595934E-5
705,6.513455446111038E-5
706,4.862542846240103E-5
707,3.769476825254969E-5
708,3.3555483241798356E-5
709,3.702494359458797E-5
710,4.921002619084902E-5
711,6.749275053152815E-5
712,7.892811117926612E-5
713,7.200492837000638E-5
714,6.710660818498582E-5
715,9.355791553389281E-5
716,1.3349755317904055E-4
717,1.473684242228046E-4
718,1.3555597979575396E-4
719,1.2157583114458248E-4
720,1.0723896411946043E-4
721,8.220778545364738E-5
722,5.245523789199069E-5
723,3.766864392673597E-5
724,5.0860573537647724E-5
725,8.463211997877806E-5
726,1.1484193964861333E-4
727,1.2376383529044688E-4
728,1.1376620386727154E-4
729,9.428013436263427E-5
730,7.403183553833514E-5
731,6.394110096152872E-5
732,6.734789349138737E-5
733,7.545560220023617E-5
734,8.108996553346515E-5
735,8.410799637204036E-5
736,8.554733358323574E-5
737,8.821246592560783E-5
738,9.393806249136105E-5
739,9.46086656767875E-5
740,7.906069367891178E-5
741,5.3381176257971674E-5
742,4.5404143747873604E-5
743,7.404505595332012E-5
744,1.1320920020807534E-4
745,1.1810072464868426E-4
746,8.995816460810602E-5
747,7.027110405033454E-5
748,7.776626443956047E-5
749,9.759356180438772E-5
750,1.1623485625023022E-4
751,1.2821519339922816E-4
752,1.2802804121747613E-4
753,1.1769111733883619E-4
754,1.0235961963189766E-4
755,7.923133671283722E-5
756,5.174894249648787E-5
757,3.651734004961327E-5
758,3.92023976019118E-5
759,4.6208209823817015E-5
760,4.6285727876238525E-5
761,4.202670243103057E-5
