SHARAD Reading at Lat,Lon: 70.8756, 194.4126
Line (Pixels),Value (DN)
2580,4.894032099400647E-5
2581,5.311670611263253E-5
2582,3.832412403426133E-5
2583,1.7438804206904024E-5
2584,1.970413541130256E-5
2585,4.565108974929899E-5
2586,8.117128163576126E-5
2587,1.1225823254790157E-4
2588,1.0646909504430369E-4
2589,5.941792915109545E-5
2590,5.4670352255925536E-5
2591,1.5004300803411752E-4
2592,2.3332354612648487E-4
2593,1.8728307622950524E-4
2594,1.1313364666420966E-4
2595,1.268723572138697E-4
2596,1.7510540783405304E-4
2597,4.5999602298252285E-4
2598,0.0016492587747052312
2599,0.003967930097132921
2600,0.0063245296478271484
2601,0.007103195413947105
2602,0.005812011193484068
2603,0.003459907602518797
2604,0.0014737467281520367
2605,6.245015538297594E-4
2606,7.093760650604963E-4
2607,9.467257768847048E-4
2608,8.109005866572261E-4
2609,4.3603012454696E-4
2610,1.5584536595270038E-4
2611,5.545973908738233E-5
2612,7.490401912946254E-5
2613,1.3899477198719978E-4
2614,1.5044792962726206E-4
2615,1.1804874520748854E-4
2616,1.9923842046409845E-4
2617,4.58781432826072E-4
2618,7.266929023899138E-4
2619,8.100045961327851E-4
2620,7.106767152436078E-4
2621,5.302364006638527E-4
2622,3.20139602990821E-4
2623,1.4456476492341608E-4
2624,8.982832514448091E-5
2625,1.1479201930342242E-4
2626,1.0773016401799396E-4
2627,8.900919783627614E-5
2628,1.3741028669755906E-4
2629,2.0707496150862426E-4
2630,2.0125946321059018E-4
2631,1.2342774425633252E-4
2632,5.505000808625482E-5
2633,4.916896432405338E-5
2634,8.363512461073697E-5
2635,1.0675426165107638E-4
2636,1.0307999036740512E-4
2637,9.226255497196689E-5
2638,9.025203326018527E-5
2639,9.034269896801561E-5
2640,7.366836507571861E-5
2641,5.017703733756207E-5
2642,6.811482307966799E-5
2643,1.40576230478473E-4
2644,2.0154188678134233E-4
2645,1.9086564134340733E-4
2646,1.4139308768790215E-4
2647,1.2208543193992227E-4
2648,1.3542172382585704E-4
2649,1.3350164226721972E-4
2650,9.903785394271836E-5
2651,5.7819870562525466E-5
2652,3.5803965147351846E-5
2653,3.372131322976202E-5
2654,4.148407970205881E-5
2655,6.325812864815816E-5
2656,1.0475100862095132E-4
2657,1.456574973417446E-4
2658,1.5688194253016263E-4
2659,1.3544029206968844E-4
2660,1.0273353109369054E-4
2661,7.903830555733293E-5
2662,6.793863576604053E-5
2663,6.441820005420595E-5
2664,7.842195918783545E-5
2665,1.282071170862764E-4
2666,1.908698322949931E-4
2667,2.023962006205693E-4
2668,1.426343951607123E-4
2669,6.808761827414855E-5
2670,3.27011730405502E-5
2671,3.3722768421284854E-5
2672,4.4700249418383464E-5
2673,5.2134226280031726E-5
2674,5.896865332033485E-5
2675,6.798128015361726E-5
2676,6.573671998921782E-5
2677,4.865743903792463E-5
2678,4.92407962155994E-5
2679,8.846390846883878E-5
2680,1.3266924361232668E-4
2681,1.3977674825582653E-4
2682,1.1097232345491648E-4
2683,7.562528480775654E-5
2684,5.558571865549311E-5
2685,5.2020081056980416E-5
2686,5.3807743825018406E-5
2687,5.254353891359642E-5
2688,5.110065103508532E-5
2689,5.9801037423312664E-5
2690,7.699701382080093E-5
2691,8.271152182715014E-5
2692,6.727795698679984E-5
2693,4.486300531425513E-5
2694,3.2323911000275984E-5
2695,4.133578113396652E-5
2696,7.324636681005359E-5
2697,1.039684284478426E-4
2698,1.0881663183681667E-4
2699,9.362889977637678E-5
2700,7.36275251256302E-5
2701,6.293971091508865E-5
2702,8.502655691700056E-5
2703,1.333042891928926E-4
2704,1.5363909187726676E-4
2705,1.2002975563518703E-4
2706,7.319915312109515E-5
2707,5.1551694923546165E-5
2708,4.710822395281866E-5
2709,4.736662594950758E-5
2710,6.222818774404004E-5
2711,9.08437286852859E-5
2712,1.0482402285560966E-4
2713,8.733440336072817E-5
2714,6.07598340138793E-5
2715,6.0161069995956495E-5
2716,1.0053603909909725E-4
2717,1.6164424596354365E-4
2718,1.8821070261765271E-4
2719,1.455458696000278E-4
2720,7.973570609465241E-5
2721,6.161868805065751E-5
2722,9.089934610528871E-5
2723,1.2048802454955876E-4
2724,1.338197325821966E-4
2725,1.3749235949944705E-4
2726,1.1995004024356604E-4
2727,7.423380884574726E-5
2728,3.6813529732171446E-5
2729,4.7700490540592E-5
2730,8.182288001989946E-5
2731,8.142463047988713E-5
2732,4.765280391438864E-5
2733,2.9086266295053065E-5
2734,3.5837954783346504E-5
2735,3.9744805690133944E-5
2736,3.613701119320467E-5
2737,3.9760092477081344E-5
2738,4.658459511119872E-5
2739,4.897380495094694E-5
2740,6.159193435451016E-5
2741,9.399986447533593E-5
2742,1.2021702423226088E-4
2743,1.0978164209518582E-4
2744,7.240207196446136E-5
2745,4.213908687233925E-5
2746,3.2679166906746104E-5
2747,3.238033241359517E-5
2748,2.981281249958556E-5
2749,2.5762870791368186E-5
2750,2.529860103095416E-5
2751,2.968146509374492E-5
2752,3.9144233596744016E-5
2753,5.386952034314163E-5
2754,6.731137546012178E-5
2755,7.084861135808751E-5
2756,6.478333671111614E-5
2757,5.439978849608451E-5
2758,4.614182762452401E-5
2759,4.903092485619709E-5
2760,6.11248760833405E-5
2761,6.751280307071283E-5
2762,6.597270112251863E-5
2763,6.568128446815535E-5
2764,6.387497705873102E-5
2765,6.118644523667172E-5
2766,7.355253183050081E-5
2767,9.777501691132784E-5
2768,1.0695809760363773E-4
2769,9.434919047635049E-5
2770,8.002196409506723E-5
2771,7.424838986480609E-5
2772,6.890415534144267E-5
2773,6.191858119564131E-5
2774,6.026001938153058E-5
2775,6.173927977215499E-5
2776,6.318942905636504E-5
2777,7.52281048335135E-5
2778,9.800429688766599E-5
2779,1.0626552102621645E-4
2780,8.641295426059514E-5
2781,5.764687011833303E-5
2782,3.9364680560538545E-5
2783,2.8851254683104344E-5
2784,2.27129967242945E-5
2785,3.6175108107272536E-5
2786,7.719726272625849E-5
2787,1.1240399908274412E-4
2788,1.0291058424627408E-4
2789,6.402966391760856E-5
2790,3.7022131436970085E-5
2791,3.5061406379099935E-5
