SHARAD Reading at Lat,Lon: 74.3002, 195.8738
Line (Pixels),Value (DN)
2580,1.7276253493037075E-4
2581,1.9888915994670242E-4
2582,1.5907023043837398E-4
2583,9.334111382486299E-5
2584,7.220693805720657E-5
2585,7.941624062368646E-5
2586,4.920183564536273E-4
2587,0.002697652904316783
2588,0.008288062177598476
2589,0.016241492703557014
2590,0.0213779304176569
2591,0.018798207864165306
2592,0.010498189367353916
2593,0.003709479235112667
2594,0.0021446801256388426
2595,0.003124741604551673
2596,0.0031912762206047773
2597,0.0020933945197612047
2598,0.0011984454467892647
2599,0.001189901726320386
2600,0.0016602876130491495
2601,0.0017701463075354695
2602,0.0012240170035511255
2603,5.187892238609493E-4
2604,1.5560966858174652E-4
2605,1.3231081538833678E-4
2606,2.2828365035820752E-4
2607,2.8644793201237917E-4
2608,2.460417745169252E-4
2609,2.3070476891007274E-4
2610,7.733578095212579E-4
2611,0.002613639924675226
2612,0.005323451478034258
2613,0.006574107334017754
2614,0.004768762271851301
2615,0.0017322005005553365
2616,2.263584901811555E-4
2617,2.4615880101919174E-4
2618,3.373966028448194E-4
2619,2.4318833311554044E-4
2620,2.0761073392350227E-4
2621,1.2261891970410943E-4
2622,1.8956731946673244E-4
2623,5.378738278523088E-4
2624,6.683022365905344E-4
2625,3.655162872746587E-4
2626,8.674747368786484E-5
2627,9.852224320638925E-5
2628,1.9890343537554145E-4
2629,2.08610828849487E-4
2630,1.4487950829789042E-4
2631,7.480296335415915E-5
2632,4.4929729483556E-5
2633,5.793407399323769E-5
2634,7.201854168670252E-5
2635,6.018779458827339E-5
2636,3.8532605685759336E-5
2637,3.443663445068523E-5
2638,5.500764382304624E-5
2639,7.34147397452034E-5
2640,6.156927702249959E-5
2641,3.461282540229149E-5
2642,2.265074181195814E-5
2643,2.982932528539095E-5
2644,4.481448922888376E-5
2645,6.414872041204944E-5
2646,1.0853675485122949E-4
2647,1.873685250757262E-4
2648,2.375492185819894E-4
2649,1.9288503972347826E-4
2650,1.0629003372741863E-4
2651,7.098195783328265E-5
2652,7.040725904516876E-5
2653,5.4004838602850214E-5
2654,5.5693617468932644E-5
2655,9.607760875951499E-5
2656,1.181687694042921E-4
2657,1.0224204015685245E-4
2658,8.539642294635996E-5
2659,8.502738637616858E-5
2660,1.0628223390085623E-4
2661,1.3321460573934019E-4
2662,1.195307049783878E-4
2663,7.492080476367846E-5
2664,5.6795095588313416E-5
2665,5.827102722832933E-5
2666,4.55872286693193E-5
2667,8.264235657406971E-5
2668,2.647635410539806E-4
2669,5.010252934880555E-4
2670,5.493265925906599E-4
2671,3.703146066982299E-4
2672,1.9451076514087617E-4
2673,1.5988292580004781E-4
2674,2.028036251431331E-4
2675,2.730450651142746E-4
2676,3.483646141830832E-4
2677,3.7138606421649456E-4
2678,3.505679196678102E-4
2679,3.5898369969800115E-4
2680,4.011506389360875E-4
2681,4.0363252628594637E-4
2682,3.230335423722863E-4
2683,2.0918608061037958E-4
2684,1.3267672329675406E-4
2685,8.636811980977654E-5
2686,4.0184248064178973E-5
2687,1.6885682271094993E-5
2688,3.195898898411542E-5
2689,5.775870886282064E-5
2690,7.099183858372271E-5
2691,6.958867743378505E-5
2692,6.826091703260317E-5
2693,8.359481580555439E-5
2694,1.1171276855748147E-4
2695,1.4903950795996934E-4
2696,1.9060279009863734E-4
2697,1.941208611242473E-4
2698,1.3375126582104713E-4
2699,6.572484562639147E-5
2700,5.353291999199428E-5
2701,7.623560668434948E-5
2702,7.550190639449283E-5
2703,4.9995247536571696E-5
2704,4.5622538891620934E-5
2705,6.669996218988672E-5
2706,6.496506102848798E-5
2707,2.996465627802536E-5
2708,1.2101925676688552E-5
2709,3.478749931673519E-5
2710,5.768227856606245E-5
2711,4.596322833094746E-5
2712,2.3787397367414087E-5
2713,3.489109440124594E-5
2714,7.622049452038482E-5
